corpus,system,seeds_used,test_rows,test_groups,auroc,auroc_sd,bacc,mcc,ece,brier,ms,p95_ms,aurc
unisumeval,fixed::factcc,10,367,45,0.5432010831174947,0.016877809600429464,0.5146887999372106,0.034563271341523566,0.049681313356497475,0.19246150507189866,127.29615543184919,428.8471196979188,0.3958784121796928
unisumeval,fixed::factkb,10,367,45,0.47220783298014285,0.007085285748095507,0.4872812181147476,-0.045826418772565755,0.07230154740926134,0.19896068726752167,121.57122266220074,444.5667562771032,0.39368113721292924
unisumeval,fixed::hhem,10,367,45,0.4990777803940036,0.002766658817989165,0.5,0.0,0.03213067578188513,0.19075871016980453,908.6137388547498,2796.7057608644545,0.4656178030604692
unisumeval,fixed::wecheck,10,367,45,0.6508005651047799,0.004519870676705605,0.5826092928341575,0.1803711483626516,0.09650985446383946,0.1825111754726198,1986.6417306988465,5632.817612301932,0.21221922735177307
unisumeval,fixed::factcg,10,367,45,0.6293619025194255,0.011123679227906847,0.5657797661094105,0.19274046408714912,0.05355786170410903,0.1821231610658346,2254.292698832954,12482.78126656433,0.21514034699127788
unisumeval,fixed::minicheck_dbta,10,367,45,0.547873008398085,0.00995743560013804,0.5281865630641237,0.0860087243440027,0.07971018867407284,0.2002686800244129,1596.8693356319222,5133.4578284723,0.2957295125067674
unisumeval,fixed::minicheck_ft5,10,367,45,0.5833039007927164,0.009915831233301916,0.5456125892787067,0.08519300371519885,0.09474533299502705,0.20102717826219657,1405.8419082140385,5029.088119035237,0.2505503185145469
unisumeval,fixed::alignscore,10,367,45,0.605578447531591,0.014027433581122272,0.5568558197943647,0.11716161117880364,0.06116054459957028,0.1907820009086046,1873.1010797911827,6904.808756592999,0.22435273480464696
unisumeval,fixed::lettuce_v2,10,367,45,0.5056353504434503,0.011246301079779314,0.5068793658268582,0.010660203380941813,0.05475091779345868,0.19684675043703626,233.12636534647717,848.1390061941069,0.3226525839511418
unisumeval,fixed::granite_guardian_3_1_2b,10,367,45,0.6642080684404678,0.009148062285828885,0.5780374381916646,0.18620638093560643,0.08184504770950643,0.18619286631951124,147.60255547473446,348.7111619220808,0.19318374435786795
unisumeval,fixed::granite_guardian_3_2_3b_a800m,10,367,45,0.579018522878895,0.0063115181091786265,0.5256730240954399,0.07071312505635957,0.14817949313061102,0.21082912937175186,394.2077484317216,642.7870546582424,0.2564360809065228
unisumeval,fixed::granite_guardian_3_2_8b_factuality,10,367,45,0.614094262616749,0.04416437476929474,0.5684208460874343,0.18220551823004977,0.15079893430156913,0.21184046013568775,410.6252381579793,705.3193046820068,0.3851449982127994
unisumeval,fixed::granite_guardian_4_1_3b_factuality_lora,10,367,45,0.4657032415038066,0.007916775695521775,0.47062436229495336,-0.05886991630783748,0.23821164053896454,0.32787327574652797,393.9703805894402,671.405342160371,0.589986775271787
unisumeval,fixed::qwen30_fast,10,367,45,0.6866101561886822,0.010459839626612798,0.6522427595950082,0.37703101851429877,0.06768219571998135,0.16586621716219874,232.1796274443499,557.4411744851842,0.21443104278560451
unisumeval,fixed::qwen30_judge,10,367,45,0.7241582293383565,0.000948521686775322,0.6519700180519583,0.411053105379943,0.04296408858238997,0.15606024059449408,666.2302581019645,1425.7412029391573,0.19844883740087943
