protocol,seed,rotation,system,n,verifier,features,heads,routing,platt,isotonic
A,17,7,fixed::qwen30_fast,816,248.32826786533747,0.0,0.0,0.0,8.225612748669936e-05,3.32745234938521e-05
A,17,7,fixed::qwen30_judge,816,604.8882668110666,0.0,0.0,0.0,8.072671406290622e-05,2.9176465200269412e-05
A,17,8,OURS,818,70.64016340049963,26.40798128127322,0.48035099024515515,0.00017789976095238788,0.0001762946206600403,3.44058688021832e-05
A,17,8,OURS_legacy_hp,818,70.25998908777899,26.40798128127322,0.4972255098007843,0.00018034473176553736,0.00017916994035007173,3.4073345086475824e-05
A,17,8,fixed::factcc,818,44.219921484918615,0.0,0.0,0.0,8.547798563068172e-05,3.425060093407417e-05
A,17,8,fixed::factkb,818,45.18819965852947,0.0,0.0,0.0,8.498900214182828e-05,3.5227393796371434e-05
A,17,8,fixed::hhem,818,143.4183517535141,0.0,0.0,0.0,8.629951062486996e-05,3.4210271848716335e-05
A,17,8,fixed::wecheck,818,341.36512399744896,0.0,0.0,0.0,8.42640570348953e-05,4.2249386689527764e-05
A,17,8,fixed::factcg,818,426.2096908544848,0.0,0.0,0.0,8.287530977046687e-05,4.066504247163247e-05
A,17,8,fixed::minicheck_dbta,818,517.6270143348455,0.0,0.0,0.0,8.399144878433356e-05,3.5755496675918254e-05
A,17,8,fixed::minicheck_ft5,818,493.93247720796967,0.0,0.0,0.0,8.201589286987713e-05,3.8924202901336265e-05
A,17,8,fixed::alignscore,818,691.8500870587771,0.0,0.0,0.0,8.451956945350781e-05,4.152689655117855e-05
A,17,8,fixed::lettuce_v2,818,80.77552787274176,0.0,0.0,0.0,8.332641914254624e-05,2.7990217569960432e-05
A,17,8,fixed::granite_guardian_3_1_2b,818,185.40954209754128,0.0,0.0,0.0,8.463568235166862e-05,4.2836177549928354e-05
A,17,8,fixed::granite_guardian_3_2_3b_a800m,818,246.15221730458168,0.0,0.0,0.0,8.301344622737184e-05,4.0782400643712586e-05
A,17,8,fixed::granite_guardian_3_2_8b_factuality,818,1041.5078879947134,0.0,0.0,0.0,8.35024475058527e-05,3.111980440468507e-05
A,17,8,fixed::granite_guardian_4_1_3b_factuality_lora,818,461.92984468822226,0.0,0.0,0.0,8.148654471641101e-05,3.65770216701065e-05
A,17,8,fixed::qwen30_fast,818,286.4885390110679,0.0,0.0,0.0,8.371761304947997e-05,3.26271373254855e-05
A,17,8,fixed::qwen30_judge,818,648.039283789922,0.0,0.0,0.0,8.295477603614549e-05,2.8166263722894316e-05
A,17,9,OURS,804,76.27427305739381,23.88191535909352,0.49626744650631555,0.0001755236268370176,0.00018125498190693632,3.4548509176774185e-05
A,17,9,OURS_legacy_hp,804,75.81181446281036,23.88191535909352,0.5166821616847446,0.00018101617846225587,0.0001870062282142132,3.566292525194956e-05
A,17,9,fixed::factcc,804,39.12192648209357,0.0,0.0,0.0,8.626990726875577e-05,3.096517244937704e-05
A,17,9,fixed::factkb,804,39.006169693398554,0.0,0.0,0.0,9.050871366032617e-05,3.6000008422612625e-05
A,17,9,fixed::hhem,804,102.59589147463699,0.0,0.0,0.0,8.901616498197786e-05,3.3951482465676033e-05
A,17,9,fixed::wecheck,804,262.0960688100104,0.0,0.0,0.0,8.774254661034885e-05,4.025995490993767e-05
A,17,9,fixed::factcg,804,342.8929291092672,0.0,0.0,0.0,8.867786915171243e-05,3.9223873025195586e-05
A,17,9,fixed::minicheck_dbta,804,432.1372098182209,0.0,0.0,0.0,8.778234718446226e-05,3.6776128667522574e-05
A,17,9,fixed::minicheck_ft5,804,367.0541088778276,0.0,0.0,0.0,8.537436720210855e-05,3.972140735070874e-05
A,17,9,fixed::alignscore,804,589.604135310335,0.0,0.0,0.0,8.66480036731346e-05,4.0457708922108234e-05
A,17,9,fixed::lettuce_v2,804,59.665033117651106,0.0,0.0,0.0,8.477735859040745e-05,2.8837063443610695e-05
