protocol,seed,system,n,verifier,features,heads,routing,platt,isotonic
B,53,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.6630715375515194e-05,1.2099198011016043e-05
B,61,OURS,3236,79.2893489162297,27.29291416183124,0.031593872990385234,0.00019020704516987876,6.735290557391279e-05,3.514493035229685e-05
B,61,OURS_legacy_hp,3236,78.9741288662871,27.29291416183124,0.03444539307578086,6.031211698283896e-05,6.631953072358886e-05,1.711248570122976e-05
B,61,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.7817366502278834e-05,1.5955810800335185e-05
B,61,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.831674991946838e-05,1.485321092435443e-05
B,61,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.752564916829262e-05,1.3137204651415753e-05
B,61,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.7669036797764718e-05,2.8677687782227845e-05
B,61,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.9058407435806097e-05,2.391625705004724e-05
B,61,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.7184178314502127e-05,2.1191905580728103e-05
B,61,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.726853985025125e-05,2.196322454108508e-05
B,61,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.7441287632543495e-05,2.269499341045519e-05
B,61,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.7787394773293337e-05,9.310257802999432e-06
B,61,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.7723426604528343e-05,2.1088072539126438e-05
B,61,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.7322929657014877e-05,2.526607310021819e-05
B,61,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.747620593345458e-05,1.6168418958580537e-05
B,61,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.7411617194757107e-05,2.3233931415515166e-05
B,61,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.7154822658565545e-05,1.803244465106709e-05
B,61,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.7209207968445602e-05,1.2099198011016043e-05
