system,coverage,selective_error
fixed::factcg,0.13999999999999999,0.01832229580573953
fixed::factcg,0.16,0.02220077220077219
fixed::factcg,0.18,0.03711340206185565
fixed::factcg,0.19999999999999998,0.06584234930448223
fixed::factcg,0.22,0.09241573033707864
fixed::factcg,0.24,0.12187902187902191
fixed::factcg,0.26,0.15029726516052322
fixed::factcg,0.28,0.16777041942604853
fixed::factcg,0.30000000000000004,0.18022657054582902
fixed::factcg,0.32,0.19092664092664094
fixed::factcg,0.34,0.19536363636363632
fixed::factcg,0.36000000000000004,0.1959656652360515
fixed::factcg,0.38,0.19715447154471546
fixed::factcg,0.4,0.2016228748068006
fixed::factcg,0.42000000000000004,0.20250183958793233
fixed::factcg,0.44,0.20603932584269663
fixed::factcg,0.46,0.2126930826057757
fixed::factcg,0.48000000000000004,0.2191886670959433
fixed::factcg,0.5,0.22651421508034608
fixed::factcg,0.52,0.23161021984551397
fixed::factcg,0.54,0.22827704636519747
fixed::factcg,0.56,0.22577262693156733
fixed::factcg,0.5800000000000001,0.22418753329781568
fixed::factcg,0.6,0.2211122554067971
fixed::factcg,0.62,0.2186939182452642
fixed::factcg,0.64,0.21685176243360696
fixed::factcg,0.66,0.21591760299625468
fixed::factcg,0.68,0.2160909090909091
fixed::factcg,0.7000000000000001,0.21858719646799116
fixed::factcg,0.7200000000000001,0.22051502145922747
fixed::factcg,0.74,0.22379958246346554
fixed::factcg,0.76,0.22590483936559574
fixed::factcg,0.78,0.23015055467511886
fixed::factcg,0.8,0.2356894553881808
fixed::factcg,0.8200000000000001,0.24035418236623968
fixed::factcg,0.8400000000000001,0.2438557763061074
fixed::factcg,0.86,0.24624505928853752
fixed::factcg,0.88,0.2489115168539326
fixed::factcg,0.9,0.24955357142857143
fixed::factcg,0.92,0.2496808867987907
fixed::factcg,0.9400000000000001,0.25460223537146615
fixed::factcg,0.9600000000000001,0.26105568072095264
fixed::factcg,0.98,0.2663197729422895
fixed::factcg,1.0,0.2711372064276885
fixed::minicheck_dbta,0.02,0.03076923076923077
fixed::minicheck_dbta,0.04,0.015503875968992276
fixed::minicheck_dbta,0.06,0.013402061855670066
fixed::minicheck_dbta,0.08,0.0969111969111969
fixed::minicheck_dbta,0.1,0.14413580246913582
fixed::minicheck_dbta,0.12000000000000001,0.18427835051546393
fixed::minicheck_dbta,0.13999999999999999,0.22141280353200882
fixed::minicheck_dbta,0.16,0.2496138996138996
fixed::minicheck_dbta,0.18,0.25687285223367695
fixed::minicheck_dbta,0.19999999999999998,0.25811437403400317
fixed::minicheck_dbta,0.22,0.2629213483146067
fixed::minicheck_dbta,0.24,0.26563706563706563
fixed::minicheck_dbta,0.26,0.264922711058264
fixed::minicheck_dbta,0.28,0.2644591611479029
