protocol,seed,rotation,beta,val_auroc,val_ms
A,7,9,0.2,0.7886159519419498,85.14387201119736
A,7,9,0.4,0.7327291381668947,77.91616485737222
A,7,9,0.6,0.6062099764071454,65.92682656958017
A,7,9,0.8,0.5424547473185433,58.08845208660977
A,7,9,1.2,0.5564493744919606,57.5891596394869
A,7,9,1.6,0.5577752334503063,57.24791113951497
A,7,9,2.4,0.5576562778802119,57.23345831259323
A,7,9,3.2,0.5576562778802119,57.23345831259323
A,11,0,0.0,0.7457232529088076,148.86894327138992
A,11,0,0.1,0.780311477271554,80.16974375921977
A,11,0,0.2,0.7619217228812423,66.81278327002485
A,11,0,0.4,0.717037817078081,62.281368666397
A,11,0,0.6,0.5817305210559461,52.356644828845575
A,11,0,0.8,0.5207333188796316,43.461082266989344
A,11,0,1.2,0.5140536438814384,43.285941513914885
A,11,0,1.6,0.5073997790648455,42.85217231334966
A,11,0,2.4,0.5073997790648455,42.85217231334966
A,11,0,3.2,0.5073997790648455,42.85217231334966
A,11,1,0.0,0.744623102310231,154.16072553567076
A,11,1,0.1,0.7801927392739274,94.31752344576539
A,11,1,0.2,0.7793425742574258,88.66114503975537
A,11,1,0.4,0.7212356435643565,81.22883072959335
A,11,1,0.6,0.5745372937293729,73.63926511956048
A,11,1,0.8,0.5171960396039603,66.62004179903637
A,11,1,1.2,0.5188541254125413,66.5124756525653
A,11,1,1.6,0.5204171617161717,66.28553065352621
A,11,1,2.4,0.5204171617161717,66.28553065352621
A,11,1,3.2,0.5204171617161717,66.28553065352621
A,11,2,0.0,0.7728604382320803,173.23963978806495
A,11,2,0.1,0.8126032632506875,90.56650536669339
A,11,2,0.2,0.791393717371452,77.23654235750261
A,11,2,0.4,0.7278468985394024,68.52432014091715
A,11,2,0.6,0.5828138279060193,56.99097951818986
A,11,2,0.8,0.5349128761685572,50.73012095080268
A,11,2,1.2,0.5386290335351531,50.46352729098722
A,11,2,1.6,0.5372011634106302,49.894570130201004
A,11,2,2.4,0.5372011634106302,49.894570130201004
A,11,2,3.2,0.5372011634106302,49.894570130201004
A,11,3,0.0,0.7599005208159078,169.42704418038932
A,11,3,0.1,0.7853446641462299,99.04763075480189
A,11,3,0.2,0.7855398307069491,88.08460476156732
A,11,3,0.4,0.7339182753967456,78.13971651192449
A,11,3,0.6,0.619904758718369,68.84919580389413
A,11,3,0.8,0.5366801610402935,58.351415610730605
A,11,3,1.2,0.5351467094917863,58.07510198036764
A,11,3,1.6,0.5226002877312724,57.600966457560745
A,11,3,2.4,0.5230965684142439,57.58162267051354
A,11,3,3.2,0.5230965684142439,57.58162267051354
A,11,4,0.0,0.8009318775412858,179.2783274176015
A,11,4,0.1,0.8273612508798158,107.40733015714102
A,11,4,0.2,0.8116060054330438,93.87856809400893
A,11,4,0.4,0.7351827399061142,85.31023963220096
A,11,4,0.6,0.5881066365735758,74.12694139458749
A,11,4,0.8,0.5210603160937928,66.64679003650755
A,11,4,1.2,0.5570527773091891,65.63209048163984
A,11,4,1.6,0.5531728627022121,65.2820653570026
A,11,4,2.4,0.5551099115239863,65.26082150213327
A,11,4,3.2,0.5551099115239863,65.26082150213327
A,11,5,0.0,0.8070143951677786,173.75623758618525
A,11,5,0.1,0.8182285155524749,101.07174361899878
A,11,5,0.2,0.8109133443081531,93.00106150615213
A,11,5,0.4,0.7574729858523845,84.64760175591242
A,11,5,0.6,0.6383817504424998,75.20581150010342
A,11,5,0.8,0.5639798987510984,66.41171905127621
A,11,5,1.2,0.5559220705276579,64.67149605014308
A,11,5,1.6,0.5378816947432263,64.22710320621621
A,11,5,2.4,0.5290564543080293,64.1004342185866
A,11,5,3.2,0.5290564543080293,64.1004342185866
A,11,6,0.0,0.7544056116170317,166.38375079477876
A,11,6,0.1,0.8082082205267044,101.09194701362867
A,11,6,0.2,0.8005045532857494,88.64256317418725
A,11,6,0.4,0.7698129460989417,79.75279082309895
A,11,6,0.6,0.65,66.52826879014549
A,11,6,0.8,0.5783780457789811,59.01044575233652
A,11,6,1.2,0.5932008368200836,58.00602650521767
A,11,6,1.6,0.5955820822052671,57.53384605452844
A,11,6,2.4,0.5878168840758061,57.43768678081204
A,11,6,3.2,0.5878168840758061,57.43768678081204
A,11,7,0.0,0.7685860058309038,154.59132513022098
A,11,7,0.1,0.8206025267249757,81.30771939692306
