system,rule,primary,mean_threshold,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,auroc,ece,brier,aurc
fixed::granite_guardian_3_2_8b_factuality,youden,False,0.6888292407464945,0.45463535228677376,0.44204551064858244,-0.14073769786234902,0.3981440269591846,0.5824859996026646,0.4850457030322349,0.7289520426287744,0.6338600312375258,0.2810752764038606,0.2655293685903578,0.2954509203799484
fixed::granite_guardian_3_2_8b_factuality,conformal,False,0.7270007992595163,0.4568603213844252,0.4441035821351358,-0.13668660809379285,0.3990335645572955,0.5854519571942427,0.48655308624433335,0.7348134991119005,0.6338600312375258,0.2810752764038606,0.2655293685903578,0.2943251850527857
fixed::granite_guardian_4_1_3b_factuality_lora,fixed05,False,0.5,0.4611557478368356,0.45742467228727807,-0.08703467891392698,0.45361728568310433,0.51159622134729,0.4857131133948537,0.5424511545293071,0.47486680421587957,0.27709814844900943,0.33311837351231127,0.44657350973113197
fixed::granite_guardian_4_1_3b_factuality_lora,mcc,True,0.48933324895993574,0.4637824474660074,0.4610767875943928,-0.07875476557450928,0.4591593254583253,0.5038248354895567,0.4875482115504278,0.522735346358792,0.47486680421587957,0.27709814844900943,0.33311837351231127,0.44686566406171735
fixed::granite_guardian_4_1_3b_factuality_lora,youden,False,0.6676169907900472,0.476946847960445,0.46303868179325286,-0.09474857930294463,0.4095818954850213,0.6087032037429443,0.49920485327787284,0.7799881586737715,0.47486680421587957,0.27709814844900943,0.33311837351231127,0.43695724871351355
fixed::granite_guardian_4_1_3b_factuality_lora,conformal,False,0.782733235278362,0.5166254635352286,0.4979108517296794,-0.00475638818126115,0.39408030879390527,0.6659975860101817,0.5206923955945291,0.9243931320307872,0.47486680421587957,0.27709814844900943,0.33311837351231127,0.4100603398706249
fixed::qwen30_fast,fixed05,False,0.5,0.7690667490729296,0.774339781000527,0.5636492932366378,0.7668734759267365,0.74649353482293,0.8747917293232803,0.6541740674955594,0.8338392113232777,0.025056996077055062,0.15688457976374826,0.12857216259441176
fixed::qwen30_fast,mcc,True,0.5456685106375203,0.7668108776266995,0.7725075328669518,0.5631066753785771,0.7640339477298121,0.7409833665970177,0.8823532051621683,0.6426879810538779,0.8338392113232777,0.025056996077055062,0.15688457976374826,0.12914336344215735
fixed::qwen30_fast,youden,False,0.6835535833392263,0.7645550061804697,0.7642542930548364,0.5303669251733533,0.7636962192064373,0.7735594769295749,0.778929301560396,0.7711071640023682,0.8338392113232777,0.025056996077055062,0.15688457976374826,0.1282724657043131
fixed::qwen30_fast,conformal,False,0.7617710958780298,0.7533065512978986,0.7509380060262935,0.5057888935014863,0.7513838829825393,0.7730652748118994,0.7437910276247668,0.804914150384843,0.8338392113232777,0.025056996077055062,0.15688457976374826,0.13120091525982108
fixed::qwen30_judge,fixed05,False,0.5,0.7503399258343633,0.759182692068493,0.5599343304664911,0.7430709427573621,0.6998551138671281,0.9393642073778663,0.5576672587329782,0.8150024513152714,0.05597169708571963,0.16377298846455962,0.14312090828734306
fixed::qwen30_judge,mcc,True,0.5212035835488835,0.7503399258343633,0.759182692068493,0.5599343304664911,0.7430709427573621,0.6998551138671281,0.9393642073778663,0.5576672587329782,0.8150024513152714,0.05597169708571963,0.16377298846455962,0.14312090828734306
fixed::qwen30_judge,youden,False,0.7472547662179063,0.784301606922126,0.7880157664924148,0.581538060476938,0.7837596688013118,0.7729342875731946,0.8577617328519855,0.7033747779751333,0.8150024513152714,0.05597169708571963,0.16377298846455962,0.13902121621399485
fixed::qwen30_judge,conformal,False,0.7986945104186518,0.5951792336217553,0.5795997754204837,0.2323589379307956,0.509024077561128,0.7089680284976916,0.5834918227908241,0.9346358792184726,0.8150024513152714,0.05597169708571963,0.16377298846455962,0.19539646359039622
